date,valid_area_km2,water_area_km2
2019-01-01,9411.206121250929,1090.3869407587567
2019-02-01,9333.061290617306,1656.5293175577604
2019-03-01,9436.085525033031,1530.2019046684725
2019-04-01,9336.845730612942,1398.4221184995404
2019-05-01,8658.31220547348,1323.9486649233563
2019-06-01,8386.675330560593,1191.1981452516256
2019-07-01,8569.374469637527,1259.1275294938425
2019-08-01,8484.740424727725,1111.7193291980545
2019-09-01,9248.640706921522,1038.5508176136573
2019-10-01,9454.212514134353,905.102266601566
2019-11-01,9096.1594066644,662.4494621077807
2019-12-01,9313.252558357946,340.2092273568151
2020-01-01,9450.50052915859,731.2417809838834
2020-02-01,8277.709963200372,1226.9550763016498
2020-03-01,9345.155036569244,1524.159452667503
2020-04-01,8878.564201248897,1108.1527290061886
2020-05-01,8639.215509417982,1037.9850453293172
2020-06-01,8203.197198238819,895.765300889153
2020-07-01,8112.519470651395,759.869786499615
2020-08-01,8338.145681015902,652.0425135783557
2020-09-01,9130.47859455051,409.0571186595356
2020-10-01,9444.500582737503,540.0375572367075
2020-11-01,9454.959448885575,86.80204083459472
2020-12-01,9454.857910273053,228.4069980797119
2021-01-01,9332.482549445482,986.2785400086431
2021-02-01,9161.105658709195,613.9617346313922
2021-03-01,9285.331519836269,665.2185339898174
2021-04-01,9276.030961506216,373.1961460447713
2021-05-01,8046.135350579464,123.5650603270436
2021-06-01,7644.962260285687,73.43030222176633
2021-07-01,7826.095999930179,35.71282722044199
2021-08-01,8059.069836110586,19.829106167524507
2021-09-01,9433.501937874891,36.30185362017822
2021-10-01,9454.79625964551,51.62599906976318
2021-11-01,9451.41350629805,15.649833919372558
2021-12-01,9424.126008360767,1434.6593122790277
